timestamp,cpustatus
11:24:47,0.0
11:24:51,0.0
11:24:54,0.0
11:24:57,0.0
11:25:00,0.0
11:25:03,0.0
11:25:06,0.0
11:25:09,0.0
11:25:12,0.0
11:25:16,0.0
11:25:19,0.0
11:25:22,0.0
11:25:25,0.0
11:25:28,0.0
11:25:31,0.0
11:25:34,0.0
11:25:37,0.0
11:25:40,0.0
11:25:44,0.0
11:25:47,0.0
11:25:50,0.0
11:25:53,0.0
11:25:56,0.0
11:25:59,0.0
11:26:02,0.0
11:26:05,0.0
11:26:08,0.0
11:26:12,0.0
11:26:15,0.0
11:26:18,0.0
11:26:21,0.0
11:26:24,0.0
11:26:27,0.0
11:26:30,0.0
11:26:33,0.0
11:26:36,0.0
11:26:40,0.0
11:26:43,0.0
11:26:46,0.0
11:26:49,0.0
11:26:52,0.0
11:26:55,0.0
11:26:58,0.0
11:27:01,0.0
11:27:04,0.0
11:27:08,0.0
11:27:11,0.0
11:27:14,0.0
11:27:17,0.0
11:27:20,0.0
11:27:23,0.0
11:27:26,0.0
11:27:29,0.0
11:27:32,0.0
11:27:36,0.0
11:27:39,0.0
11:27:42,0.0
11:27:45,0.0
11:27:48,0.0
11:27:51,0.0
11:27:54,0.0
11:27:57,0.0
11:28:00,0.0
11:28:04,0.0
11:28:07,0.0
11:28:10,0.0
11:28:13,0.0
11:28:16,0.0
11:28:19,0.0
11:28:22,0.0
11:28:25,0.0
11:28:28,0.0
11:28:31,0.0
11:28:35,0.0
11:28:38,0.0
11:28:41,0.0
11:28:44,0.0
11:28:47,0.0
11:28:50,0.0
11:28:53,0.0
11:28:56,0.0
11:28:59,0.0
11:29:03,0.0
11:29:06,0.0
11:29:09,0.0
11:29:12,0.0
11:29:15,0.0
11:29:18,0.0
11:29:21,0.0
11:29:24,0.0
11:29:27,0.0
11:29:31,0.0
11:29:34,0.0
11:29:37,0.0
11:29:40,0.0
11:29:43,0.0
11:29:46,0.0
11:29:49,0.0
11:29:52,0.0
11:29:55,0.0
