timestamp,rss
10:44:41,51.625
10:44:47,51.625
10:44:52,51.625
10:44:57,51.625
10:45:03,51.625
10:45:08,51.625
10:45:13,51.625
10:45:18,51.625
10:45:24,51.625
10:45:29,51.625
10:45:34,51.625
10:45:40,51.625
10:45:45,51.625
10:45:50,51.625
10:45:55,51.625
10:46:01,51.625
10:46:06,51.625
10:46:11,51.625
10:46:17,51.625
10:46:22,51.625
10:46:27,51.625
10:46:32,51.625
10:46:38,51.625
10:46:43,51.640625
10:46:48,51.640625
10:46:54,51.66015625
10:46:59,51.66015625
10:47:04,51.66015625
10:47:10,51.66015625
10:47:15,51.66015625
10:47:20,51.66015625
10:47:26,51.66015625
10:47:31,51.66015625
10:47:36,51.66015625
10:47:42,51.66015625
10:47:47,51.66015625
10:47:52,51.66015625
10:47:58,51.66015625
10:48:03,51.66015625
10:48:08,51.66015625
10:48:14,51.66015625
10:48:19,51.66015625
10:48:24,51.66015625
10:48:30,51.66015625
10:48:35,51.66015625
10:48:40,51.66015625
10:48:46,51.66015625
10:48:51,51.66015625
10:48:56,51.66015625
10:49:02,51.66015625
