timestamp,power
16:38:53," 42
"
16:38:58," 42
"
16:39:03," 42
"
16:39:09," 42
"
16:39:14," 42
"
16:39:19," 42
"
16:39:24," 42
"
16:39:29," 42
"
16:39:34," 42
"
16:39:39," 42
"
16:39:44," 42
"
16:39:49," 42
"
16:39:54," 42
"
16:40:00," 42
"
16:40:05," 42
"
16:40:10," 42
"
16:40:15," 42
"
16:40:20," 42
"
16:40:25," 42
"
16:40:30," 42
"
16:40:35," 42
"
16:40:40," 42
"
16:40:45," 42
"
16:40:50," 42
"
16:40:56," 42
"
16:41:01," 42
"
16:41:06," 42
"
16:41:11," 42
"
16:41:16," 42
"
16:41:21," 42
"
16:41:26," 42
"
16:41:31," 42
"
16:41:36," 42
"
16:41:41," 42
"
16:41:47," 42
"
16:41:52," 42
"
16:41:57," 42
"
16:42:02," 42
"
16:42:07," 42
"
16:42:12," 42
"
16:42:17," 42
"
16:42:22," 42
"
16:42:27," 42
"
16:42:33," 42
"
16:42:38," 42
"
16:42:43," 42
"
16:42:48," 42
"
16:42:53," 42
"
16:42:58," 42
"
16:43:03," 42
"
16:43:08," 42
"
16:43:13," 42
"
16:43:18," 42
"
16:43:24," 42
"
16:43:29," 42
"
16:43:34," 42
"
16:43:39," 42
"
16:43:44," 42
"
16:43:49," 42
"
16:43:54," 42
"
16:43:59," 42
"
16:44:04," 42
"
16:44:09," 42
"
16:44:14," 42
"
16:44:20," 42
"
16:44:25," 42
"
16:44:30," 42
"
16:44:35," 42
"
16:44:40," 42
"
16:44:45," 42
"
16:44:50," 42
"
16:44:55," 42
"
16:45:00," 42
"
16:45:06," 42
"
16:45:11," 42
"
16:45:16," 42
"
16:45:21," 42
"
16:45:26," 42
"
16:45:31," 42
"
16:45:36," 42
"
16:45:41," 42
"
16:45:46," 42
"
16:45:51," 42
"
16:45:56," 42
"
16:46:02," 42
"
16:46:07," 42
"
16:46:12," 42
"
16:46:17," 42
"
16:46:22," 42
"
16:46:27," 42
"
16:46:32," 42
"
16:46:37," 42
"
16:46:42," 42
"
16:46:47," 42
"
16:46:52," 42
"
16:46:58," 42
"
16:47:03," 42
"
16:47:08," 42
"
16:47:13," 42
"
16:47:18," 42
"
